nutrient,unit,value,species
Crude Protein,%,40.27,Asian Seabass - Finisher
Crude Lipid,%,15.00,Asian Seabass - Finisher
Crude Fibre,%,2.23,Asian Seabass - Finisher
Ash,%,7.10,Asian Seabass - Finisher
NFE,%,27.26,Asian Seabass - Finisher
Starch,%,14.00,Asian Seabass - Finisher
Dig CP -fish,%,36.00,Asian Seabass - Finisher
DE Fish Carni MJ,MJ/kg,16.80,Asian Seabass - Finisher
DE Fish Carni kcal,kcal/kg,4014,Asian Seabass - Finisher
Arginine,%,2.75,Asian Seabass - Finisher
Histidine,%,1.16,Asian Seabass - Finisher
Isoleucine,%,1.63,Asian Seabass - Finisher
Leucine,%,3.29,Asian Seabass - Finisher
Lysine,%,2.53,Asian Seabass - Finisher
Methionine,%,0.84,Asian Seabass - Finisher
Phenylalanine,%,2.00,Asian Seabass - Finisher
Threonine,%,1.55,Asian Seabass - Finisher
Tryptophan,%,0.60,Asian Seabass - Finisher
Valine,%,2.23,Asian Seabass - Finisher
Cystine,%,0.70,Asian Seabass - Finisher
Tyrosine,%,1.39,Asian Seabass - Finisher
Taurine,%,0.06,Asian Seabass - Finisher
Linoleic 18:2 n-6,%,0.75,Asian Seabass - Finisher
EPA 20:5 n-3,%,0.23,Asian Seabass - Finisher
DHA 22:6 n-3,%,0.19,Asian Seabass - Finisher
EPA+DHA,%,0.41,Asian Seabass - Finisher
Sum_n_3,%,1.30,Asian Seabass - Finisher
Linolenic 18:3 n-3,%,6.17,Asian Seabass - Finisher
Arachidonic 20:4 n-6,%,0.01,Asian Seabass - Finisher
Sum n-6,%,6.87,Asian Seabass - Finisher
Phospholipids,%,2.04,Asian Seabass - Finisher
Cholesterol,mg,774.38,Asian Seabass - Finisher
Calcium,%,1.34,Asian Seabass - Finisher
Phosphorus,%,1.02,Asian Seabass - Finisher
Digestible P,%,0.54,Asian Seabass - Finisher
Dry Matter,%,92.17,European Seabass - Starter
Crude Protein,%,48.23,European Seabass - Starter
Crude Lipid,%,16.00,European Seabass - Starter
Crude Fibre,%,1.84,European Seabass - Starter
Ash,%,7.08,European Seabass - Starter
NFE,%,19.01,European Seabass - Starter
Starch,%,10.00,European Seabass - Starter
Dig CP -fish,%,42.80,European Seabass - Starter
DE Fish Carni MJ,MJ/kg,17.95,European Seabass - Starter
DE Fish Carni kcal,kcal/kg,4291,European Seabass - Starter
Arginine,%,3.13,European Seabass - Starter
Histidine,%,1.24,European Seabass - Starter
Isoleucine,%,2.27,European Seabass - Starter
Leucine,%,4.38,European Seabass - Starter
Lysine,%,3.73,European Seabass - Starter
Methionine,%,1.03,European Seabass - Starter
Phenylalanine,%,2.43,European Seabass - Starter
Threonine,%,1.87,European Seabass - Starter
Tryptophan,%,0.51,European Seabass - Starter
Valine,%,2.49,European Seabass - Starter
Cystine,%,0.67,European Seabass - Starter
Tyrosine,%,1.69,European Seabass - Starter
Taurine,%,0.30,European Seabass - Starter
Linoleic 18:2 n-6,%,1.02,European Seabass - Starter
EPA 20:5 n-3,%,0.88,European Seabass - Starter
DHA 22:6 n-3,%,0.52,European Seabass - Starter
EPA+DHA,%,1.40,European Seabass - Starter
Sum_n_3,%,2.69,European Seabass - Starter
Linolenic 18:3 n-3,%,2.57,European Seabass - Starter
Arachidonic 20:4 n-6,%,0.02,European Seabass - Starter
Sum n-6,%,2.88,European Seabass - Starter
Phospholipids,%,1.17,European Seabass - Starter
Cholesterol,mg,1118,European Seabass - Starter
Calcium,%,1.29,European Seabass - Starter
Phosphorus,%,1.07,European Seabass - Starter
Digestible P,%,0.64,European Seabass - Starter
Dry Matter,%,92.22,European Seabass - Grower
Crude Protein,%,46.19,European Seabass - Grower
Crude Lipid,%,18.00,European Seabass - Grower
Crude Fibre,%,1.80,European Seabass - Grower
Ash,%,6.86,European Seabass - Grower
NFE,%,19.38,European Seabass - Grower
Starch,%,10.00,European Seabass - Grower
Dig CP -fish,%,41.00,European Seabass - Grower
DE Fish Carni MJ,MJ/kg,18.30,European Seabass - Grower
DE Fish Carni kcal,kcal/kg,4374,European Seabass - Grower
Arginine,%,2.97,European Seabass - Grower
Histidine,%,1.19,European Seabass - Grower
Isoleucine,%,2.16,European Seabass - Grower
Leucine,%,4.21,European Seabass - Grower
Lysine,%,3.57,European Seabass - Grower
Methionine,%,0.98,European Seabass - Grower
Phenylalanine,%,2.33,European Seabass - Grower
Threonine,%,1.78,European Seabass - Grower
Tryptophan,%,0.49,European Seabass - Grower
Valine,%,2.38,European Seabass - Grower
Cystine,%,0.64,European Seabass - Grower
Tyrosine,%,1.63,European Seabass - Grower
Taurine,%,0.20,European Seabass - Grower
Linoleic 18:2 n-6,%,1.46,European Seabass - Grower
EPA 20:5 n-3,%,0.62,European Seabass - Grower
DHA 22:6 n-3,%,0.38,European Seabass - Grower
EPA+DHA,%,1.00,European Seabass - Grower
Sum_n_3,%,2.74,European Seabass - Grower
Linolenic 18:3 n-3,%,3.29,European Seabass - Grower
Arachidonic 20:4 n-6,%,0.02,European Seabass - Grower
Sum n-6,%,3.28,European Seabass - Grower
Phospholipids,%,1.18,European Seabass - Grower
Cholesterol,mg,1008,European Seabass - Grower
Calcium,%,1.24,European Seabass - Grower
Phosphorus,%,1.01,European Seabass - Grower
Digestible P,%,0.60,European Seabass - Grower
Dry Matter,%,92.45,European Seabass - Finisher
Crude Protein,%,45.03,European Seabass - Finisher
Crude Lipid,%,20.00,European Seabass - Finisher
Crude Fibre,%,1.77,European Seabass - Finisher
Ash,%,7.51,European Seabass - Finisher
NFE,%,18.14,European Seabass - Finisher
Starch,%,9.00,European Seabass - Finisher
Dig CP -fish,%,40.00,European Seabass - Finisher
DE Fish Carni MJ,MJ/kg,18.65,European Seabass - Finisher
DE Fish Carni kcal,kcal/kg,4458,European Seabass - Finisher
Arginine,%,2.90,European Seabass - Finisher
Histidine,%,1.15,European Seabass - Finisher
Isoleucine,%,2.11,European Seabass - Finisher
Leucine,%,4.12,European Seabass - Finisher
Lysine,%,3.46,European Seabass - Finisher
Methionine,%,0.95,European Seabass - Finisher
Phenylalanine,%,2.28,European Seabass - Finisher
Threonine,%,1.74,European Seabass - Finisher
Tryptophan,%,0.48,European Seabass - Finisher
Valine,%,2.32,European Seabass - Finisher
Cystine,%,0.63,European Seabass - Finisher
Tyrosine,%,1.59,European Seabass - Finisher
Taurine,%,0.20,European Seabass - Finisher
Linoleic 18:2 n-6,%,1.71,European Seabass - Finisher
EPA 20:5 n-3,%,0.62,European Seabass - Finisher
DHA 22:6 n-3,%,0.38,European Seabass - Finisher
EPA+DHA,%,1.00,European Seabass - Finisher
Sum_n_3,%,3.01,European Seabass - Finisher
Linolenic 18:3 n-3,%,3.70,European Seabass - Finisher
Arachidonic 20:4 n-6,%,0.02,European Seabass - Finisher
Sum n-6,%,4.14,European Seabass - Finisher
Phospholipids,%,1.18,European Seabass - Finisher
Cholesterol,mg,964,European Seabass - Finisher
Calcium,%,1.53,European Seabass - Finisher
Phosphorus,%,0.98,European Seabass - Finisher
Digestible P,%,0.58,European Seabass - Finisher
Dry Matter,%,90.67,Pangasius (Striped) Catfish - Starter
Crude Protein,%,38.00,Pangasius (Striped) Catfish - Starter
Crude Lipid,%,6.00,Pangasius (Striped) Catfish - Starter
Crude Fibre,%,4.84,Pangasius (Striped) Catfish - Starter
Ash,%,7.46,Pangasius (Striped) Catfish - Starter
NFE,%,34.37,Pangasius (Striped) Catfish - Starter
Starch,%,16.00,Pangasius (Striped) Catfish - Starter
Dig CP -fish,%,33.60,Pangasius (Striped) Catfish - Starter
DE Fish Carni MJ,MJ/kg,13.63,Pangasius (Striped) Catfish - Starter
DE Fish Carni kcal,kcal/kg,3257,Pangasius (Striped) Catfish - Starter
Arginine,%,2.40,Pangasius (Striped) Catfish - Starter
Histidine,%,1.14,Pangasius (Striped) Catfish - Starter
Isoleucine,%,1.53,Pangasius (Striped) Catfish - Starter
Leucine,%,3.48,Pangasius (Striped) Catfish - Starter
Lysine,%,2.16,Pangasius (Striped) Catfish - Starter
Methionine,%,0.66,Pangasius (Striped) Catfish - Starter
Phenylalanine,%,1.92,Pangasius (Striped) Catfish - Starter
Threonine,%,1.41,Pangasius (Striped) Catfish - Starter
Tryptophan,%,0.49,Pangasius (Striped) Catfish - Starter
Valine,%,2.03,Pangasius (Striped) Catfish - Starter
Cystine,%,0.60,Pangasius (Striped) Catfish - Starter
Tyrosine,%,1.52,Pangasius (Striped) Catfish - Starter
Taurine,%,0.22,Pangasius (Striped) Catfish - Starter
Linoleic 18:2 n-6,%,0.21,Pangasius (Striped) Catfish - Starter
EPA 20:5 n-3,%,0.11,Pangasius (Striped) Catfish - Starter
DHA 22:6 n-3,%,0.08,Pangasius (Striped) Catfish - Starter
EPA+DHA,%,0.18,Pangasius (Striped) Catfish - Starter
Sum_n_3,%,0.44,Pangasius (Striped) Catfish - Starter
Linolenic 18:3 n-3,%,1.97,Pangasius (Striped) Catfish - Starter
Arachidonic 20:4 n-6,%,0.01,Pangasius (Striped) Catfish - Starter
Sum n-6,%,2.20,Pangasius (Striped) Catfish - Starter
Phospholipids,%,1.74,Pangasius (Striped) Catfish - Starter
Cholesterol,mg,404.74,Pangasius (Striped) Catfish - Starter
Calcium,%,0.95,Pangasius (Striped) Catfish - Starter
Phosphorus,%,1.10,Pangasius (Striped) Catfish - Starter
Digestible P,%,0.64,Pangasius (Striped) Catfish - Starter
Dry Matter,%,90.25,Pangasius (Striped) Catfish - Grower
Crude Protein,%,31.58,Pangasius (Striped) Catfish - Grower
Crude Lipid,%,6.50,Pangasius (Striped) Catfish - Grower
Crude Fibre,%,4.83,Pangasius (Striped) Catfish - Grower
Ash,%,6.81,Pangasius (Striped) Catfish - Grower
NFE,%,40.53,Pangasius (Striped) Catfish - Grower
Starch,%,20.00,Pangasius (Striped) Catfish - Grower
Dig CP -fish,%,28.00,Pangasius (Striped) Catfish - Grower
DE Fish Carni MJ,MJ/kg,13.30,Pangasius (Striped) Catfish - Grower
DE Fish Carni kcal,kcal/kg,3179,Pangasius (Striped) Catfish - Grower
Arginine,%,2.09,Pangasius (Striped) Catfish - Grower
Histidine,%,0.99,Pangasius (Striped) Catfish - Grower
Isoleucine,%,1.27,Pangasius (Striped) Catfish - Grower
Leucine,%,2.57,Pangasius (Striped) Catfish - Grower
Lysine,%,1.96,Pangasius (Striped) Catfish - Grower
Methionine,%,0.57,Pangasius (Striped) Catfish - Grower
Phenylalanine,%,1.59,Pangasius (Striped) Catfish - Grower
Threonine,%,1.22,Pangasius (Striped) Catfish - Grower
Tryptophan,%,0.43,Pangasius (Striped) Catfish - Grower
Valine,%,1.76,Pangasius (Striped) Catfish - Grower
Cystine,%,0.50,Pangasius (Striped) Catfish - Grower
Tyrosine,%,1.13,Pangasius (Striped) Catfish - Grower
Taurine,%,0.11,Pangasius (Striped) Catfish - Grower
Linoleic 18:2 n-6,%,0.20,Pangasius (Striped) Catfish - Grower
EPA 20:5 n-3,%,0.06,Pangasius (Striped) Catfish - Grower
DHA 22:6 n-3,%,0.04,Pangasius (Striped) Catfish - Grower
EPA+DHA,%,0.11,Pangasius (Striped) Catfish - Grower
Sum_n_3,%,0.35,Pangasius (Striped) Catfish - Grower
Linolenic 18:3 n-3,%,1.93,Pangasius (Striped) Catfish - Grower
Arachidonic 20:4 n-6,%,0.01,Pangasius (Striped) Catfish - Grower
Sum n-6,%,2.15,Pangasius (Striped) Catfish - Grower
Phospholipids,%,1.64,Pangasius (Striped) Catfish - Grower
Cholesterol,mg,222.25,Pangasius (Striped) Catfish - Grower
Calcium,%,0.60,Pangasius (Striped) Catfish - Grower
Phosphorus,%,0.99,Pangasius (Striped) Catfish - Grower
Digestible P,%,0.57,Pangasius (Striped) Catfish - Grower
Dry Matter,%,89.84,Pangasius (Striped) Catfish - Finisher
Crude Protein,%,26.50,Pangasius (Striped) Catfish - Finisher
Crude Lipid,%,7.50,Pangasius (Striped) Catfish - Finisher
Crude Fibre,%,5.37,Pangasius (Striped) Catfish - Finisher
Ash,%,6.45,Pangasius (Striped) Catfish - Finisher
NFE,%,44.03,Pangasius (Striped) Catfish - Finisher
Starch,%,22.00,Pangasius (Striped) Catfish - Finisher
Dig CP -fish,%,23.00,Pangasius (Striped) Catfish - Finisher
DE Fish Carni MJ,MJ/kg,12.91,Pangasius (Striped) Catfish - Finisher
DE Fish Carni kcal,kcal/kg,3085,Pangasius (Striped) Catfish - Finisher
Arginine,%,1.83,Pangasius (Striped) Catfish - Finisher
Histidine,%,0.70,Pangasius (Striped) Catfish - Finisher
Isoleucine,%,1.15,Pangasius (Striped) Catfish - Finisher
Leucine,%,1.95,Pangasius (Striped) Catfish - Finisher
Lysine,%,1.51,Pangasius (Striped) Catfish - Finisher
Methionine,%,0.55,Pangasius (Striped) Catfish - Finisher
Phenylalanine,%,1.27,Pangasius (Striped) Catfish - Finisher
Threonine,%,1.02,Pangasius (Striped) Catfish - Finisher
Tryptophan,%,0.36,Pangasius (Striped) Catfish - Finisher
Valine,%,1.37,Pangasius (Striped) Catfish - Finisher
Cystine,%,0.47,Pangasius (Striped) Catfish - Finisher
Tyrosine,%,0.99,Pangasius (Striped) Catfish - Finisher
Taurine,%,0.12,Pangasius (Striped) Catfish - Finisher
Linoleic 18:2 n-6,%,0.22,Pangasius (Striped) Catfish - Finisher
EPA 20:5 n-3,%,0.04,Pangasius (Striped) Catfish - Finisher
DHA 22:6 n-3,%,0.03,Pangasius (Striped) Catfish - Finisher
EPA+DHA,%,0.08,Pangasius (Striped) Catfish - Finisher
Sum_n_3,%,0.34,Pangasius (Striped) Catfish - Finisher
Linolenic 18:3 n-3,%,2.14,Pangasius (Striped) Catfish - Finisher
Arachidonic 20:4 n-6,%,-,Pangasius (Striped) Catfish - Finisher
Sum n-6,%,2.38,Pangasius (Striped) Catfish - Finisher
Phospholipids,%,1.66,Pangasius (Striped) Catfish - Finisher
Cholesterol,mg,32.64,Pangasius (Striped) Catfish - Finisher
Calcium,%,0.52,Pangasius (Striped) Catfish - Finisher
Phosphorus,%,0.96,Pangasius (Striped) Catfish - Finisher
Digestible P,%,0.53,Pangasius (Striped) Catfish - Finisher
Dry Matter,%,90.79,Common Carp - Starter
Crude Protein,%,39.12,Common Carp - Starter
Crude Lipid,%,6.00,Common Carp - Starter
Crude Fibre,%,3.10,Common Carp - Starter
Ash,%,9.20,Common Carp - Starter
NFE,%,33.38,Common Carp - Starter
Starch,%,16.00,Common Carp - Starter
Dig CP -fish,%,34.70,Common Carp - Starter
DE Fish Carni MJ,MJ/kg,14.12,Common Carp - Starter
DE Fish Carni kcal,kcal/kg,3375,Common Carp - Starter
Arginine,%,2.74,Common Carp - Starter
Histidine,%,0.93,Common Carp - Starter
Isoleucine,%,1.74,Common Carp - Starter
Leucine,%,3.10,Common Carp - Starter
Lysine,%,3.11,Common Carp - Starter
Methionine,%,0.78,Common Carp - Starter
Phenylalanine,%,1.89,Common Carp - Starter
Threonine,%,1.55,Common Carp - Starter
Tryptophan,%,0.61,Common Carp - Starter
Valine,%,2.11,Common Carp - Starter
Cystine,%,0.81,Common Carp - Starter
Tyrosine,%,1.39,Common Carp - Starter
Taurine,%,0.03,Common Carp - Starter
Linoleic 18:2 n-6,%,0.11,Common Carp - Starter
EPA 20:5 n-3,%,0.07,Common Carp - Starter
DHA 22:6 n-3,%,0.05,Common Carp - Starter
EPA+DHA,%,0.12,Common Carp - Starter
Sum_n_3,%,0.26,Common Carp - Starter
Linolenic 18:3 n-3,%,1.50,Common Carp - Starter
Arachidonic 20:4 n-6,%,-,Common Carp - Starter
Sum n-6,%,1.67,Common Carp - Starter
Phospholipids,%,1.42,Common Carp - Starter
Cholesterol,mg,426.28,Common Carp - Starter
Calcium,%,1.81,Common Carp - Starter
Phosphorus,%,1.36,Common Carp - Starter
Digestible P,%,0.60,Common Carp - Starter
Dry Matter,%,90.41,Common Carp - Grower
Crude Protein,%,32.68,Common Carp - Grower
Crude Lipid,%,7.50,Common Carp - Grower
Crude Fibre,%,3.94,Common Carp - Grower
Ash,%,6.86,Common Carp - Grower
NFE,%,39.43,Common Carp - Grower
Starch,%,19.00,Common Carp - Grower
Dig CP -fish,%,29.00,Common Carp - Grower
DE Fish Carni MJ,MJ/kg,14.06,Common Carp - Grower
DE Fish Carni kcal,kcal/kg,3359,Common Carp - Grower
Arginine,%,2.30,Common Carp - Grower
Histidine,%,0.81,Common Carp - Grower
Isoleucine,%,1.45,Common Carp - Grower
Leucine,%,2.65,Common Carp - Grower
Lysine,%,2.17,Common Carp - Grower
Methionine,%,0.69,Common Carp - Grower
Phenylalanine,%,1.64,Common Carp - Grower
Threonine,%,1.30,Common Carp - Grower
Tryptophan,%,0.51,Common Carp - Grower
Valine,%,1.80,Common Carp - Grower
Cystine,%,0.69,Common Carp - Grower
Tyrosine,%,1.20,Common Carp - Grower
Taurine,%,0.01,Common Carp - Grower
Linoleic 18:2 n-6,%,0.12,Common Carp - Grower
EPA 20:5 n-3,%,0.04,Common Carp - Grower
DHA 22:6 n-3,%,0.03,Common Carp - Grower
EPA+DHA,%,0.07,Common Carp - Grower
Sum_n_3,%,0.22,Common Carp - Grower
Linolenic 18:3 n-3,%,2.10,Common Carp - Grower
Arachidonic 20:4 n-6,%,-,Common Carp - Grower
Sum n-6,%,2.34,Common Carp - Grower
Phospholipids,%,1.83,Common Carp - Grower
Cholesterol,mg,142.59,Common Carp - Grower
Calcium,%,0.71,Common Carp - Grower
Phosphorus,%,1.06,Common Carp - Grower
Digestible P,%,0.53,Common Carp - Grower
Dry Matter,%,90.26,Common Carp - Finisher
Crude Protein,%,29.34,Common Carp - Finisher
Crude Lipid,%,8.50,Common Carp - Finisher
Crude Fibre,%,4.79,Common Carp - Finisher
Ash,%,7.20,Common Carp - Finisher
NFE,%,40.44,Common Carp - Finisher
Starch,%,19.00,Common Carp - Finisher
Dig CP -fish,%,26.00,Common Carp - Finisher
DE Fish Carni MJ,MJ/kg,13.83,Common Carp - Finisher
DE Fish Carni kcal,kcal/kg,3304,Common Carp - Finisher
Arginine,%,2.00,Common Carp - Finisher
Histidine,%,0.74,Common Carp - Finisher
Isoleucine,%,1.26,Common Carp - Finisher
Leucine,%,2.34,Common Carp - Finisher
Lysine,%,2.01,Common Carp - Finisher
Methionine,%,0.65,Common Carp - Finisher
Phenylalanine,%,1.43,Common Carp - Finisher
Threonine,%,1.16,Common Carp - Finisher
Tryptophan,%,0.44,Common Carp - Finisher
Valine,%,1.57,Common Carp - Finisher
Cystine,%,0.58,Common Carp - Finisher
Tyrosine,%,1.06,Common Carp - Finisher
Taurine,%,-,Common Carp - Finisher
Linoleic 18:2 n-6,%,0.15,Common Carp - Finisher
EPA 20:5 n-3,%,0.04,Common Carp - Finisher
DHA 22:6 n-3,%,0.03,Common Carp - Finisher
EPA+DHA,%,0.06,Common Carp - Finisher
Sum_n_3,%,0.24,Common Carp - Finisher
Linolenic 18:3 n-3,%,2.12,Common Carp - Finisher
Arachidonic 20:4 n-6,%,-,Common Carp - Finisher
Sum n-6,%,2.36,Common Carp - Finisher
Phospholipids,%,1.75,Common Carp - Finisher
Cholesterol,mg,45.51,Common Carp - Finisher
Calcium,%,0.86,Common Carp - Finisher
Phosphorus,%,0.96,Common Carp - Finisher
Digestible P,%,0.46,Common Carp - Finisher
Dry Matter,%,89.40,IMC-Rohu
Crude Protein,%,30.29,IMC-Rohu
Crude Lipid,%,6.00,IMC-Rohu
Crude Fibre,%,5.02,IMC-Rohu
Ash,%,5.76,IMC-Rohu
NFE,%,42.32,IMC-Rohu
Starch,%,19.00,IMC-Rohu
Dig CP -fish,%,27.00,IMC-Rohu
DE Fish Carni MJ,MJ/kg,13.29,IMC-Rohu
DE Fish Carni kcal,kcal/kg,3177,IMC-Rohu
Arginine,%,2.08,IMC-Rohu
Histidine,%,0.78,IMC-Rohu
Isoleucine,%,1.29,IMC-Rohu
Leucine,%,2.34,IMC-Rohu
Lysine,%,1.77,IMC-Rohu
Methionine,%,0.60,IMC-Rohu
Phenylalanine,%,1.46,IMC-Rohu
Threonine,%,1.17,IMC-Rohu
Tryptophan,%,0.45,IMC-Rohu
Valine,%,1.54,IMC-Rohu
Cystine,%,0.53,IMC-Rohu
Tyrosine,%,1.07,IMC-Rohu
Taurine,%,0.00,IMC-Rohu
Linoleic 18:2 n-6,%,0.17,IMC-Rohu
EPA 20:5 n-3,%,0.04,IMC-Rohu
DHA 22:6 n-3,%,0.03,IMC-Rohu
EPA+DHA,%,0.07,IMC-Rohu
Sum_n_3,%,0.27,IMC-Rohu
Linolenic 18:3 n-3,%,1.82,IMC-Rohu
Arachidonic 20:4 n-6,%,-,IMC-Rohu
Sum n-6,%,2.03,IMC-Rohu
Phospholipids,%,1.81,IMC-Rohu
Cholesterol,mg,38.00,IMC-Rohu
Calcium,%,0.39,IMC-Rohu
Phosphorus,%,0.78,IMC-Rohu
Digestible P,%,0.28,IMC-Rohu
Dry Matter,%,90.69,African Catfish
Crude Protein,%,35.74,African Catfish
Crude Lipid,%,7.67,African Catfish
Crude Fibre,%,4.11,African Catfish
Ash,%,7.04,African Catfish
NFE,%,36.13,African Catfish
Starch,%,17.00,African Catfish
Dig CP -fish,%,31.85,African Catfish
DE Fish Carni MJ,MJ/kg,14.08,African Catfish
DE Fish Carni kcal,kcal/kg,3372,African Catfish
Arginine,%,2.36,African Catfish
Histidine,%,1.02,African Catfish
Isoleucine,%,1.47,African Catfish
Leucine,%,2.84,African Catfish
Lysine,%,2.10,African Catfish
Methionine,%,0.67,African Catfish
Phenylalanine,%,1.82,African Catfish
Threonine,%,1.40,African Catfish
Tryptophan,%,0.41,African Catfish
Valine,%,1.97,African Catfish
Cystine,%,0.57,African Catfish
Tyrosine,%,1.29,African Catfish
Taurine,%,0.04,African Catfish
Linoleic 18:2 n-6,%,0.39,African Catfish
EPA 20:5 n-3,%,0.09,African Catfish
DHA 22:6 n-3,%,0.06,African Catfish
EPA+DHA,%,0.15,African Catfish
Sum_n_3,%,0.60,African Catfish
Linolenic 18:3 n-3,%,3.15,African Catfish
Arachidonic 20:4 n-6,%,0.01,African Catfish
Sum n-6,%,3.51,African Catfish
Phospholipids,%,0.50,African Catfish
Cholesterol,mg,353.42,African Catfish
Calcium,%,0.95,African Catfish
Phosphorus,%,1.16,African Catfish
Digestible P,%,0.69,African Catfish
Dry Matter,%,90.28,Largemouth Bass
Crude Protein,%,46.00,Largemouth Bass
Crude Lipid,%,14.54,Largemouth Bass
Crude Fibre,%,1.40,Largemouth Bass
Ash,%,8.73,Largemouth Bass
NFE,%,19.62,Largemouth Bass
Starch,%,12.00,Largemouth Bass
Dig CP -fish,%,41.17,Largemouth Bass
DE Fish Carni MJ,MJ/kg,17.10,Largemouth Bass
DE Fish Carni kcal,kcal/kg,4135,Largemouth Bass
Arginine,%,2.98,Largemouth Bass
Histidine,%,1.20,Largemouth Bass
Isoleucine,%,1.96,Largemouth Bass
Leucine,%,3.40,Largemouth Bass
Lysine,%,2.55,Largemouth Bass
Methionine,%,0.93,Largemouth Bass
Phenylalanine,%,2.11,Largemouth Bass
Threonine,%,1.67,Largemouth Bass
Tryptophan,%,0.50,Largemouth Bass
Valine,%,2.28,Largemouth Bass
Cystine,%,0.62,Largemouth Bass
Tyrosine,%,1.43,Largemouth Bass
Taurine,%,0.08,Largemouth Bass
Linoleic 18:2 n-6,%,0.63,Largemouth Bass
EPA 20:5 n-3,%,0.36,Largemouth Bass
DHA 22:6 n-3,%,0.30,Largemouth Bass
EPA+DHA,%,0.66,Largemouth Bass
Sum_n_3,%,1.43,Largemouth Bass
Linolenic 18:3 n-3,%,4.46,Largemouth Bass
Arachidonic 20:4 n-6,%,0.05,Largemouth Bass
Sum n-6,%,5.01,Largemouth Bass
Phospholipids,%,1.17,Largemouth Bass
Cholesterol,mg,1312.35,Largemouth Bass
Calcium,%,2.33,Largemouth Bass
Phosphorus,%,1.66,Largemouth Bass
Digestible P,%,1.02,Largemouth Bass
Dry Matter,%,89.79,Snakehead
Crude Protein,%,42.99,Snakehead
Crude Lipid,%,10.28,Snakehead
Crude Fibre,%,1.98,Snakehead
Ash,%,5.86,Snakehead
NFE,%,28.68,Snakehead
Starch,%,18.00,Snakehead
Dig CP -fish,%,38.69,Snakehead
DE Fish Carni MJ,MJ/kg,16.21,Snakehead
DE Fish Carni kcal,kcal/kg,3896,Snakehead
Arginine,%,2.73,Snakehead
Histidine,%,1.16,Snakehead
Isoleucine,%,1.81,Snakehead
Leucine,%,3.71,Snakehead
Lysine,%,2.44,Snakehead
Methionine,%,0.84,Snakehead
Phenylalanine,%,2.35,Snakehead
Threonine,%,1.66,Snakehead
Tryptophan,%,0.43,Snakehead
Valine,%,2.40,Snakehead
Cystine,%,0.63,Snakehead
Tyrosine,%,1.54,Snakehead
Taurine,%,0.05,Snakehead
Linoleic 18:2 n-6,%,0.48,Snakehead
EPA 20:5 n-3,%,0.36,Snakehead
DHA 22:6 n-3,%,0.28,Snakehead
EPA+DHA,%,0.64,Snakehead
Sum_n_3,%,1.24,Snakehead
Linolenic 18:3 n-3,%,3.06,Snakehead
Arachidonic 20:4 n-6,%,0.03,Snakehead
Sum n-6,%,3.43,Snakehead
Phospholipids,%,0.80,Snakehead
Cholesterol,mg,995.10,Snakehead
Calcium,%,0.88,Snakehead
Phosphorus,%,0.98,Snakehead
Digestible P,%,0.58,Snakehead
Dry Matter,%,90.35,Grass Carp
Crude Protein,%,32.75,Grass Carp
Crude Lipid,%,8.84,Grass Carp
Crude Fibre,%,4.12,Grass Carp
Ash,%,6.16,Grass Carp
NFE,%,38.47,Grass Carp
Starch,%,17.05,Grass Carp
Dig CP -fish,%,29.00,Grass Carp
DE Fish Carni MJ,MJ/kg,13.90,Grass Carp
DE Fish Carni kcal,kcal/kg,3325,Grass Carp
Arginine,%,2.16,Grass Carp
Histidine,%,0.83,Grass Carp
Isoleucine,%,1.38,Grass Carp
Leucine,%,2.31,Grass Carp
Lysine,%,1.78,Grass Carp
Methionine,%,0.57,Grass Carp
Phenylalanine,%,1.47,Grass Carp
Threonine,%,1.21,Grass Carp
Tryptophan,%,0.40,Grass Carp
Valine,%,1.59,Grass Carp
Cystine,%,0.57,Grass Carp
Tyrosine,%,1.04,Grass Carp
Taurine,%,0.01,Grass Carp
Linoleic 18:2 n-6,%,0.45,Grass Carp
EPA 20:5 n-3,%,0.00,Grass Carp
DHA 22:6 n-3,%,-,Grass Carp
EPA+DHA,%,0.00,Grass Carp
Sum_n_3,%,0.50,Grass Carp
Linolenic 18:3 n-3,%,4.33,Grass Carp
Arachidonic 20:4 n-6,%,-,Grass Carp
Sum n-6,%,4.81,Grass Carp
Phospholipids,%,0.90,Grass Carp
Cholesterol,mg,104.94,Grass Carp
Calcium,%,0.53,Grass Carp
Phosphorus,%,1.02,Grass Carp
Digestible P,%,0.66,Grass Carp
Dry Matter,%,90.57,Channel Catfish
Crude Protein,%,37.21,Channel Catfish
Crude Lipid,%,8.00,Channel Catfish
Crude Fibre,%,4.12,Channel Catfish
Ash,%,6.15,Channel Catfish
NFE,%,35.07,Channel Catfish
Starch,%,17.17,Channel Catfish
Dig CP -fish,%,33.00,Channel Catfish
DE Fish Carni MJ,MJ/kg,14.49,Channel Catfish
DE Fish Carni kcal,kcal/kg,3454,Channel Catfish
Arginine,%,2.41,Channel Catfish
Histidine,%,0.93,Channel Catfish
Isoleucine,%,1.64,Channel Catfish
Leucine,%,3.18,Channel Catfish
Lysine,%,1.95,Channel Catfish
Methionine,%,0.65,Channel Catfish
Phenylalanine,%,1.92,Channel Catfish
Threonine,%,1.37,Channel Catfish
Tryptophan,%,0.41,Channel Catfish
Valine,%,1.93,Channel Catfish
Cystine,%,0.63,Channel Catfish
Tyrosine,%,1.34,Channel Catfish
